customer_tweet_id,clean_customer_query
594532.0,UPS
588782.0,I just got a package (a birthday gift for tomorrow) and the packaging and the item itself smell very strongly of smoke. I'm assuming the driver at Intelcom was smoking in the car and now my gift is ruined.
1704079.0,"Once again, I'm not getting my packages on time from #Intelcom. So much for 2 day delivery! This is the 5th time!"
831799.0,Only tell me where is solution and what action taken on your courier partners unethical behaviour
841310.0,"I have called them but they are saying,"" we have not received delivery report So u have to wait."""
1393965.0,i have already tried your customer care. doesnt help my case.
69684.0,Plz update on the status of my money. I was called today by courier boy and promised an upload of money. PLZ FOLLOW UP. #AmazonFraud #AmazonFails #AmazonPayQuiz #AmazonPay
1479696.0,You bet i did. I was asked to reorder at the increased price now.
1137442.0,Why you guys are not providing delivery guy's contact no. If your delivery guy's can't make call to customers.
2481428.0,help!
1207591.0,So sad😫
1218275.0,Done that. Thanks for your support.
281935.0,"24 hours later, is still investigating. Total for 1 week now. Please cancel the order so that it reflects on the account?"
838337.0,I am not satisfied .you want to lost me as your valuable customer.
1206867.0,"you think i don't check my emails before tweeting? Well, I do ! No resolution. Giving you guys 48 hours as requested :)"
2171362.0,I've done what you asked. Unless the 9th call is any different from the previous 8 experiences/telephone conversations I truly don't see the benefit or incentive on being disappointed once again.
1448010.0,"Livraison express 9,99€"
422471.0,I have taken an off especially for this installation and then the same delayed maybe cancelled by Very disappointing
222811.0,再設定が完了したすぐ後に、そのパスワードを打ち込んでも「問題が発生しました。パスワードが正しくありません」と表示されてしまいます。ブラウザを変えたり、PC、スマホの両方で試してもだめでした、、
2589118.0,"Se vende en vuestra página y entiendo que es responsabilidad vuestra. Ya está bien de...""el vendedor es otro nosotros nos borramos"""
440993.0,Am not able to find how to registered the complaint. Pls assist and refund the amount asap. This is absolutely fraud By
429083.0,405-1233743-7365932 this is the detail and I want refund now
2518031.0,Justamente antes de mandar el primer tweet 🤗
20034.0,how do i delete my old credit cards from the list
938020.0,why even have pictures and descriptions of your items? You sold me a $15 costume described as an $80 dirndl. Shame.
527736.0,Is it because I bought echo in the US ?
2303049.0,Already given.all details to yr staff
420774.0,... completely off-point. A form email - not an automatic reply - but a form email sent by someone who didn’t cp]omprehend my issue. 😡
1655182.0,"hi, bought some Marshal headphones through you guys a few months back but it's faulty now, do you guys provide any warranties"
1370163.0,I can DM you or you can DM me but I need some answers. Now.
78702.0,c'est fait sauf que là niveau dédommagement et tout ce qui s'en suit çà se passe comment?
448656.0,"Order number 204-8682513-8630709, and it would be idea to send to Amazon Locker - Max Located in The Co-operative, 327 Cowbridge Road, East Canton CF5 1JD before saturday"
735659.0,"Vale, pero solo de este. No hay suficiente espacio en Internet para almacenar fotos de todos los pedidos de Amazon que llevo recibidos 😉"
294801.0,no email or phone recieved yet even after passing of 21 hours. Is this kind of aftersale service one customer wants?? plz dont delay.
393080.0,i want to transfer my amazon pay to my bank account Please help Its urgent as i have to deposit my exam fee
1003621.0,yes but they said ur product is at the hub and sry fr d delay hope u understnd ur customer issues n solve dem
1249424.0,ありがとうございます。
942174.0,How long does a response usually take?
142971.0,"My second order also not shipped yet, order date 21.11.17, i think amazon taking rest Order: 407-2274167-3594706"
1397895.0,Cmon.. Check website that gives link to Amazon India site &amp; classic was available till 11th Oct. As its launched on 13th sep1/2
2471015.0,"Autant pour moi, colis retrouvé, Il devrait être livré « Avant 20h » ! Je vous remercie de votre réactivité !"
986211.0,It's been more than 10 days and I am just waiting for someone to help. Losing my hope.
798778.0,Ils ont pris en charge mon colis pas la livraison demain je vais aller le chercher
2470098.0,no payments being made through MasterCard
2611672.0,Sorry but I was not trying to buy from the Kindle app but from the Amazon app instead which I would expect to work. Would it be possible? I am in Germany.
485253.0,That link requests account details or set up an account. She doesn't have one or want one.
2334535.0,"Lá só diz ""livros elegíveis"" - o que quero saber é se só vale pra livro físico ou se aplica também ao digital - afinal, ambos são livros"
1078483.0,package says it was just delivered...but no package? Was supposed to be same-day delivery
434567.0,"done, but they need 3 day's to update the status, by the time my return policy will get over ????"
1098571.0,As of now it says delivery date pending
603965.0,Nothing...was told that the carriers made “attempts” to deliver our packages but could not locate our large apartment complex and the earliest they could be sent out for delivery again would be 12/5 with no guarantee that they would even be delivered
25959.0,How many times we have to fill the forms. 23rd we raised the case 4063530272. Today it's 1st Nov. Still in waiting. And we loose 4 orders
969880.0,No option of reply showing
2670475.0,I did this morning but it doesn’t say why it’s been delayed. Very frustrating! Is there nothing that can be done to get it here today?
80659.0,Where is the result of redtapequiz ?????
1807357.0,その通りにしてみましたが何度か試しましたがエラーが出てしまいました。
777201.0,My prime has expired. Have ordered echo which comes with prime. Should I wait for delivery in November or renew prime now?
1727446.0,"Danke. Euer Support hat versucht zu erreichen, was nicht klappte. Oh Wunder.. ich warte meine neuen Bestell. ab, ob die ankommen"
259948.0,Can you at Amazon contact their support team? If you succeed i will forget everything.
1574952.0,", wie wollt ihr dass denn schaffen, Zeitreise? Dritte #amazon Primebestellung die in dieser Woche zu spät oder gar nicht kommt."
22592.0,Unfortunately I'll have to cancel it then..disappointed
288176.0,tiers. je l'ai acheté sur Amazon donc peu importe. votre com est mensongere puisque vous refusez de prendre en charge le retour.
2558519.0,Un bloqueador solar y unas sombras para los ojos. 😁
1330231.0,"A very unclear message about ‘different fulfilment centres’. If there is a problem, then I don’t have issue with that. But saying it will be delivered next day, then saying it will be 4 days later with no reason why, is really poor."
2930155.0,Any word on an iPhone X Alexa app update anytime soon? The app isn’t running its best on the iPhone X :(
742390.0,"In der Suche standen 2,99 Hab aber 3,99 zahlen müssen"
2468670.0,please clearly mention on your site that one day delivery means delivery next day of placing order so no one get cheated
1684580.0,"Siii, me compre unos parches oculares 👁 aquí en Cancún no encontraba en donde comprarlos 😓"
2273248.0,"🤔 Äh. Machen wir es einfach: Mehrere Menschen haben (laut verschiedener Tweets) bemerkt, dass man bei Batterie-Bestellungen bei zu viel Umverpackung hat. Das ist offenbar kein Einzelfall - ergo wäre ein Vermerk an die entsprechende Stelle bei Amazon wichtig."
179315.0,Have sent another email just in case
2758119.0,Thank you for the help! :-)
2116160.0,Please upload card statement
1353568.0,Making them wait all day for the item and then possibly not delivering
243204.0,My order no 405-1802560-1066729 of 5081/- divided in 2parts charged 60/- for delivery &amp; disqualified from 1200/- ICICI cashback
