customer_tweet_id,clean_customer_query
1837997.0,"Elegante, heroico y muy casual Ruperto 👌🏻😋"
2562256.0,Hey :) Why is the Prime 'One-Day Delivery' not due to arrive until Wednesday? Thank you! Merry Black Friday x
75929.0,I keep getting the DRM message and I have to delete the book off my kindle and redownload it. It's not all of my books but its been happening often. It's just inconvenient when Im on the go and want to read but then I can't because I have to redownload the book.
219161.0,"I preordered Star Wars Battlefront 2 on Amazon, but I have not received an early access beta code yet. What is going on?"
365184.0,401602 was looking out for refrigerator exchange
2216617.0,"Certes, pour le produit suivant étiquetté prime on est déjà à mercredi, faites un tour sur votre site vous verrez que ce n'est pas un problème isolé. Je suis par ailleurs très satisfait d'Amazon mais ça c'est un peu dommage."
312819.0,Himanshu called Bluedart customer service and requested future delivery/halt! What a ethical move!!! See the status after I called him:
2734289.0,Can't do it until you let me log in. And it's consistently taking 25 minutes to get your code. I've done this about 7 times now....I'm afraid you're gonna lock me out. So ill quit for now
2849038.0,"I do, but it only offers to import collections from a previous install on macOS, and not the collections on my iOS devices. These collections, again, are completely unrelated and disjoint from the collections in the iOS app"
1917072.0,"“error downloading the item”. But I tried after several attempts, and it worked."
972725.0,sir already many time discuss but your team not give my cash back pls help and contact me early-9414609031
230124.0,Plz return my money back which i paid for prime membership as you were failed to provide me service.
983276.0,is there any reason my amazon pantry order arrived with the box open on one side? (see photo) do i trust what’s inside now or😩🤔
644750.0,"No me contestaron los mails y en el chat dijeron que me iban a contactar y no lo han hecho, mira el status"
493446.0,"Lieder nicht. Sendungsnummer hab ich mal geschwärzt, kann ich aber auf Bedarf gerne privat zukommen lassen."
416969.0,"Don’t worry. I checked over, says it is. Reset my Xbox and it’s working now :)"
986364.0,Handy... Samsung Tab oder TV
2924523.0,"The new dates just appeared. 1 was supposed to arrive yesterday. The other was supposed to arrive today. The delivery dates updated after saying all day today that the packages would be here by 8pm today. It’s aggravating, when I ordered these items the PRIME icon was there."
1838844.0,i did recharge with amazonpay for jio but I didn't get cashback offer 101
352802.0,Idiots..still askin me to revert.OMG It cant b worst thn this. I promise it was my last purchase with u guys #atrociousamazon
2946790.0,Euh hey what is this? Is my parcel having a tour of Europe or is the deliveryman having a seizure?
2205249.0,Il s'agit d'Amazon Logistics
1598668.0,"O.K., thank you."
853957.0,I am doing email communication for past 3 days. I only get false promises from you but not the product.
2683531.0,"Na toll, – was kann ich dafür, dass mein iPhone mal wieder einen Clean-Install brauchte?"
2786280.0,nowhere can I find any information on who the carrier is...where are you looking?
2619698.0,C’est bon j’ai réglé avec ils sont très pro ! Merci à eux.
225016.0,To cancel the order .. is the way customers are treated
2646217.0,-- Thanks for selling me a Whole Foods gift card that doesn't work to purchase groceries at Whole Foods ...
453338.0,"eu comprei um kindle com vcs mas estão no prazo ainda, eu só estou ansiosa mesmo"
802313.0,"Kann es sein, dass dieser Hinweis in der mobilen Ansicht nicht angezeigt wird?"
1636500.0,Darn amazon and shipping huh
1302342.0,I can't see the carrier. It was supposed to be delivered yesterday. Didn't get delivered yesterday or today even though they were in my area
666157.0,Es que ese es el problema Amazon me dice que no tienen el numero o algo donde me pueda poner en contacto directo con la paqueteria
1034740.0,"I ordered Samsung On 5 pro but as quality is not up to the mark I want to change it with On 7 pro,, but hell lot of excuses from your team"
2791925.0,That is no help and I cannot find the order i am referring to and tied to return the items when I received them but i could not i feel this is unfair since i am a loyal amazon customer
474188.0,"Throughout this issue we have not had an email like that. Perhaps thats why no one is getting back to us? To be honest it is like they have a script. As all of them are saying the same thing, but not doing anything?"
2590353.0,I can stream everything else no problem. App works well. Thursday Night Football just won’t show up at all as an option. Everything up to date on tv... I can stream TNF on my app on my cellphone fine! Too bad I can mirror it to the tv...
1463422.0,if I preorder cod ww2 tonight for pa4 will it come tomorrow? I’m prime member
431104.0,Royal Mail are the carriers. What are you doing to rectify the problem because I’m not staying at home for the next 2 days😡😡😡😡
1135149.0,I have already shared by details in your page.
